date;store;item;sales
1.01.2013;1;7;25
2.01.2013;1;7;23
3.01.2013;1;7;34
4.01.2013;1;7;36
5.01.2013;1;7;38
6.01.2013;1;7;32
7.01.2013;1;7;14
8.01.2013;1;7;31
9.01.2013;1;7;32
10.01.2013;1;7;32
11.01.2013;1;7;28
12.01.2013;1;7;35
13.01.2013;1;7;44
14.01.2013;1;7;17
15.01.2013;1;7;34
16.01.2013;1;7;35
17.01.2013;1;7;32
18.01.2013;1;7;34
19.01.2013;1;7;34
20.01.2013;1;7;42
21.01.2013;1;7;15
22.01.2013;1;7;21
23.01.2013;1;7;24
24.01.2013;1;7;30
25.01.2013;1;7;30
26.01.2013;1;7;38
27.01.2013;1;7;34
28.01.2013;1;7;23
29.01.2013;1;7;28
30.01.2013;1;7;25
31.01.2013;1;7;31
1.02.2013;1;7;38
2.02.2013;1;7;42
3.02.2013;1;7;28
4.02.2013;1;7;33
5.02.2013;1;7;21
6.02.2013;1;7;38
7.02.2013;1;7;43
8.02.2013;1;7;40
9.02.2013;1;7;41
10.02.2013;1;7;36
11.02.2013;1;7;31
12.02.2013;1;7;22
13.02.2013;1;7;27
14.02.2013;1;7;29
15.02.2013;1;7;30
16.02.2013;1;7;52
17.02.2013;1;7;47
18.02.2013;1;7;34
19.02.2013;1;7;30
20.02.2013;1;7;27
21.02.2013;1;7;29
22.02.2013;1;7;31
23.02.2013;1;7;43
24.02.2013;1;7;38
25.02.2013;1;7;29
26.02.2013;1;7;27
27.02.2013;1;7;27
28.02.2013;1;7;28
1.03.2013;1;7;43
2.03.2013;1;7;49
3.03.2013;1;7;41
4.03.2013;1;7;33
5.03.2013;1;7;33
6.03.2013;1;7;48
7.03.2013;1;7;40
8.03.2013;1;7;42
9.03.2013;1;7;51
10.03.2013;1;7;41
11.03.2013;1;7;41
12.03.2013;1;7;39
13.03.2013;1;7;43
14.03.2013;1;7;32
15.03.2013;1;7;49
16.03.2013;1;7;52
17.03.2013;1;7;50
18.03.2013;1;7;29
19.03.2013;1;7;43
20.03.2013;1;7;21
21.03.2013;1;7;38
22.03.2013;1;7;37
23.03.2013;1;7;46
24.03.2013;1;7;38
25.03.2013;1;7;32
26.03.2013;1;7;41
27.03.2013;1;7;41
28.03.2013;1;7;45
29.03.2013;1;7;44
30.03.2013;1;7;53
31.03.2013;1;7;56
1.04.2013;1;7;35
2.04.2013;1;7;47
3.04.2013;1;7;53
4.04.2013;1;7;46
5.04.2013;1;7;43
6.04.2013;1;7;64
7.04.2013;1;7;45
8.04.2013;1;7;40
9.04.2013;1;7;32
10.04.2013;1;7;47
11.04.2013;1;7;50
12.04.2013;1;7;38
13.04.2013;1;7;59
14.04.2013;1;7;55
15.04.2013;1;7;39
16.04.2013;1;7;42
17.04.2013;1;7;40
18.04.2013;1;7;43
19.04.2013;1;7;39
20.04.2013;1;7;64
21.04.2013;1;7;55
22.04.2013;1;7;42
23.04.2013;1;7;36
24.04.2013;1;7;55
25.04.2013;1;7;49
26.04.2013;1;7;44
27.04.2013;1;7;42
28.04.2013;1;7;46
29.04.2013;1;7;56
30.04.2013;1;7;40
1.05.2013;1;7;46
2.05.2013;1;7;53
3.05.2013;1;7;51
4.05.2013;1;7;54
5.05.2013;1;7;57
6.05.2013;1;7;51
7.05.2013;1;7;60
8.05.2013;1;7;50
9.05.2013;1;7;37
10.05.2013;1;7;51
11.05.2013;1;7;60
12.05.2013;1;7;60
13.05.2013;1;7;47
14.05.2013;1;7;44
15.05.2013;1;7;62
16.05.2013;1;7;54
17.05.2013;1;7;61
18.05.2013;1;7;58
19.05.2013;1;7;62
20.05.2013;1;7;48
21.05.2013;1;7;41
22.05.2013;1;7;46
23.05.2013;1;7;48
24.05.2013;1;7;57
25.05.2013;1;7;59
26.05.2013;1;7;68
27.05.2013;1;7;34
28.05.2013;1;7;56
29.05.2013;1;7;49
30.05.2013;1;7;49
31.05.2013;1;7;53
1.06.2013;1;7;64
2.06.2013;1;7;52
3.06.2013;1;7;39
4.06.2013;1;7;47
5.06.2013;1;7;37
6.06.2013;1;7;62
7.06.2013;1;7;40
8.06.2013;1;7;62
9.06.2013;1;7;68
10.06.2013;1;7;53
11.06.2013;1;7;47
12.06.2013;1;7;49
13.06.2013;1;7;41
14.06.2013;1;7;60
15.06.2013;1;7;61
16.06.2013;1;7;58
17.06.2013;1;7;34
18.06.2013;1;7;53
19.06.2013;1;7;52
20.06.2013;1;7;47
21.06.2013;1;7;58
22.06.2013;1;7;58
23.06.2013;1;7;79
24.06.2013;1;7;33
25.06.2013;1;7;44
26.06.2013;1;7;40
27.06.2013;1;7;52
28.06.2013;1;7;62
29.06.2013;1;7;56
30.06.2013;1;7;65
1.07.2013;1;7;40
2.07.2013;1;7;53
3.07.2013;1;7;44
4.07.2013;1;7;58
5.07.2013;1;7;56
6.07.2013;1;7;58
7.07.2013;1;7;73
8.07.2013;1;7;49
9.07.2013;1;7;55
10.07.2013;1;7;52
11.07.2013;1;7;59
12.07.2013;1;7;66
13.07.2013;1;7;53
14.07.2013;1;7;63
15.07.2013;1;7;36
16.07.2013;1;7;71
17.07.2013;1;7;44
18.07.2013;1;7;64
19.07.2013;1;7;58
20.07.2013;1;7;55
21.07.2013;1;7;64
22.07.2013;1;7;45
23.07.2013;1;7;43
24.07.2013;1;7;55
25.07.2013;1;7;64
26.07.2013;1;7;51
27.07.2013;1;7;54
28.07.2013;1;7;69
29.07.2013;1;7;37
30.07.2013;1;7;53
31.07.2013;1;7;67
1.08.2013;1;7;54
2.08.2013;1;7;69
3.08.2013;1;7;62
4.08.2013;1;7;60
5.08.2013;1;7;38
6.08.2013;1;7;48
7.08.2013;1;7;46
8.08.2013;1;7;51
9.08.2013;1;7;56
10.08.2013;1;7;43
11.08.2013;1;7;59
12.08.2013;1;7;39
13.08.2013;1;7;52
14.08.2013;1;7;47
15.08.2013;1;7;52
16.08.2013;1;7;46
17.08.2013;1;7;63
18.08.2013;1;7;54
19.08.2013;1;7;38
20.08.2013;1;7;47
21.08.2013;1;7;55
22.08.2013;1;7;45
23.08.2013;1;7;53
24.08.2013;1;7;59
25.08.2013;1;7;56
26.08.2013;1;7;48
27.08.2013;1;7;46
28.08.2013;1;7;37
29.08.2013;1;7;50
30.08.2013;1;7;46
31.08.2013;1;7;43
1.09.2013;1;7;70
2.09.2013;1;7;47
3.09.2013;1;7;30
4.09.2013;1;7;39
5.09.2013;1;7;45
6.09.2013;1;7;48
7.09.2013;1;7;48
8.09.2013;1;7;56
9.09.2013;1;7;42
10.09.2013;1;7;39
11.09.2013;1;7;48
12.09.2013;1;7;38
13.09.2013;1;7;51
14.09.2013;1;7;56
